"field-content","field-content 2","field-content href"
"1710B-1","Guide to Federal Financing Bank Loans Guaranteed by RUS (2/24/1998)","https://www.rd.usda.gov/media/file/download/uep-bulletin-1710b-1.pdf"
"1744-2","Instructions for Preparing Financial and Statistical Reports for Telecommunications Borrowers (3/5/01)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1744-2.pdf"
"1751F-643","Underground Plant Design (includes drawings) (8/28/02)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1751f-643.pdf"
"1751F-644","Underground Plant Construction (includes drawings) (Update 8/28/02)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1751f-644.pdf"
"1753E-001","Specifications for digital, stored program controlled central office equipment (Form 522) (1/23/1996)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1753e-001.pdf"
"1753E-002","Telecommunications Software License Agreement (4/26/1994)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1753e-002.pdf"
"1753E-201","Specifications and Drawings for Underground Electric Distribution (11/7/1996)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1753e-201.pdf"
"1753F-150","RUS Form 515a - Specifications and Drawings for Construction of Direct Buried Plant (.pdf includes drawings) (9/30/10)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1753f-150.pdf"
"1753F-151","RUS Form 515b - Specification and Drawings for Construction of Underground Plant (.pdf includes drawings) (8/21/01)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1753f-151.pdf"
"1753F-152","RUS Form 515c - Specifications and Drawings for Construction of Aerial Plant (.pdf includes drawings) (8/21/01)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1753f-152.pdf"
"1753F-153","RUS Form 515d - Specification and Drawings for Service Installation at Customer Access Locations (.pdf includes drawings) (8/21/01)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1753f-153.pdf"
"1753F-201","Acceptance Tests and Measurements of Telecommunications Plant (.pdf includes drawings) (8/26/1997)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1753f-201.pdf"
"1753F-204","Specifications for Aerial Service Wires (PE-7) (8/22/1996)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1753f-204.pdf"
"1753F-205","Specification for Filled Telephone Cable (PE-39) (6/4/1993)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1753f-205.pdf"
"1753F-206","Specifications for Filled Buried Wire (PE-86) (1/14/1994)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1753f-206.pdf"
"1753F-207","Specifications for Terminating Cables (PE-87) (7/14/1994)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1753f-207.pdf"
"1753F-208","Specifications for Filled Telephone Cables with Expanded Insulation (PE-89) (6/4/1993)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1753f-208.pdf"
"1753F-302","Specifications for Outside Plant Housings and Serving Area Interface System (PE-91) (.pdf includes drawings) (7/3/1996)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1753f-302.pdf"
"1753F-401","Standards for Splicing Copper and Fiber Optic Cable (PC-2) (.pdf includes drawings) (3/3/1995)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1753f-401.pdf"
"1753F-601a","Minimum Performance Specification for Fiber Optic Cables (For Backbone, Feeder and Distribution Plant)(PE-90a) (12/22/09)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1753f-601a.pdf"
"1753F-601b","Minimum Performance Specifications for Filled Fiber Optic Cables (Subscriber Drop Cables) (12/22/09)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1753f-601b.pdf"
"1753F-801","Service Installations at Customer Access Locations (PC-5A) (.pdf includes drawings) (9/11/01)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1753f-801.pdf"
"1770-1","REA Work Order Procedure (7/16/1992)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1770-1.pdf"
"1770B-1","Part 32, Uniform System of Accounts and Supplementary Accounts (11/12/1992)","https://www.rd.usda.gov/media/file/download/utp-bulletins-1770b-1.pdf"
"320-12","Fedwire Deposit System Wire Message Format (9/1/1982)","https://www.rd.usda.gov/media/file/download/utp-bulletins-320-12.pdf"
"345-3","Acceptance of Standards, Specifications, Equipment Contract Forms, Manual Sections, Drawings, Materials and Equipment for the Telephone Program (10/8/1981).","https://www.rd.usda.gov/media/file/download/utp-bulletins-345-3.pdf"
"345-54","Revised Page in REA Specifications PE-52 (8/7/1972)","https://www.rd.usda.gov/media/file/download/utp-bulletins-345-54.pdf"
"345-72","REA Specification for Filled Splice Closures (10/18/1985)","https://www.rd.usda.gov/media/file/download/utp-bulletins-345-72.pdf"
"345-78","Specifications for Carbon Arrester Assemblies for Use in Protectors, PE-78 (5/4/1980)","https://www.rd.usda.gov/media/file/download/utp-bulletins-345-78.pdf"
"345-83","Specification for Gas Tube Surge Arresters, PE-80 (7/1979)","https://www.rd.usda.gov/media/file/download/utp-bulletins-345-83.pdf"
"415-1","Provisions for the inclusion of Rural Telephone Bank - Sale of Property by Telephone Borrowers (8/31/1960)","https://www.rd.usda.gov/media/file/download/utp-bulletins-415-1.pdf"
