"field-content","field-content 2","field-content href"
"B 1777-2","Water and Waste Facility Loans and Grants to Alleviate Health Risks Project Selection Criteria","https://www.rd.usda.gov/media/file/download/bulletin-1777-2-7523.pdf"
"B 1777-3","Section 306C Water and Waste Disposal (WWD) Loans and Grants Transmittal Memorandum","https://www.rd.usda.gov/media/file/download/uwp-bulletin-1777-3.pdf"
"B 1778-1","Water Programs Emergency and Imminent Community Water Assistance Grants Project Selection Criteria (1/27/14)","https://www.rd.usda.gov/media/file/download/uwp-bulletin-1778-1.pdf"
"B 1778-2","Water Programs Emergency and Imminent Community Water Assistance Grants Transmittal Memorandum to Request Funds (1/27/14)","https://www.rd.usda.gov/media/file/download/uwp-bulletin-1778-2.pdf"
"B 1780-1","Water and Waste Project Selection Criteria","https://www.rd.usda.gov/media/file/download/uwp-rb-01.pdf"
"B 1780-10","Letter For Use In Informing Private Lender of Agency's Commitment (3-20-00)","https://www.rd.usda.gov/media/file/download/uwp-rb-10.pdf"
"B 1780-10a","Letter For Use In Informing Private Lender of Agency's Commitment (Bonds) (Revised 3-20-00)","https://www.rd.usda.gov/media/file/download/uwp-rb-10a.pdf"
"B 1780-11","Water and Waste Loan/Grant Docket","https://www.rd.usda.gov/media/file/download/uwp-rb-11.pdf"
"B 1780-12","Grant Agreement (Revised 1-27-14)","https://www.rd.usda.gov/media/file/download/uwp-bulletin-1780-12.pdf"
"B 1780-17","Review Guide for Water and Waste Audit Reports (Revised 4-21-00)","https://www.rd.usda.gov/media/file/download/uwp-rb-17.pdf"
"B 1780-18","Daily Inspection Report","https://www.rd.usda.gov/media/file/download/uwp-rb-18.pdf"
"B 1780-19","Water And Waste Letter Of Conditions","https://www.rd.usda.gov/media/file/download/uwp-rb-19.pdf"
"B 1780-2","Preliminary Engineering Reports for the Water and Waste Disposal Program (4/4/13)","https://www.rd.usda.gov/media/file/download/uwp-bulletin-1780-2.pdf"
"B 1780-20","Bylaws","https://www.rd.usda.gov/media/file/download/uwp-rb-20.pdf"
"B 1780-22","Eligibility Certification","https://www.rd.usda.gov/media/file/download/uwp-rb-22.pdf"
"B 1780-23","Project Management Agreement Between The Regional Commission and RUS","https://www.rd.usda.gov/media/file/download/uwp-rb-23.pdf"
"B 1780-24","Public Works Assisted By An Agency Loan (EDA)","https://www.rd.usda.gov/media/file/download/uwp-rb-24.pdf"
"B 1780-25","Construction of Public Works and Development Facilities (EDA)","https://www.rd.usda.gov/media/file/download/uwp-rb-25.pdf"
"B 1780-26","Guidance for the Use of Engineers Joint Contract Documents Committee (EJCDC) Bidding and Contract Documents on Water and Waste Disposal Projects with Rural Utilities Service Financial Assistance (Revised 5/10/24)","https://www.rd.usda.gov/media/file/download/uwp-rb-26.pdf"
"B 1780-27","Loan Resolution (Public Bodies)","https://www.rd.usda.gov/media/file/download/uwp-bulletin-1780-27.pdf"
"B 1780-28","Loan Resolution Security Agreement (Revised 2-15-00)","https://www.rd.usda.gov/media/file/download/uwp-bulletin-1780-28.pdf"
"B 1780-29","2020 Poverty Guidelines (3-24-21)","https://www.rd.usda.gov/media/file/download/uwp-bulletin-1780-29.pdf"
"B 1780-32","Memorandum of Agreement between the Appalachian Regional Commission and the Rural Utilities Service","https://www.rd.usda.gov/media/file/download/uwp-rb-32.pdf"
"B 1780-33","Guidance for Conducting Value Engineering Studies for Water and Waste Projects (Effective 3-21-2005)","https://www.rd.usda.gov/media/file/download/uwp-valueengbulletin.pdf"
"B 1780-34","Guidance for Using the Competitive Sealed Bids Process for the Water and Waste Disposal Program (Effective 9-5-2013)","https://www.rd.usda.gov/media/file/download/uwp-bulletin-1780-34.pdf"
"B 1780-35","Guidance for the Implementation of American Iron and Steel (AIS) Requirements with Rural Utilities Service Financial Assistance (Effective 8-30-2017)","https://www.rd.usda.gov/media/file/download/uwp-bulletin-1780-35.pdf"
"B 1780-6","Water And Waste Processing Checklist (Revised 8-7-2025)","https://www.rd.usda.gov/media/file/download/uwp-rb-06.pdf"
"B 1780-7","Legal Services Agreement","https://www.rd.usda.gov/media/file/download/uwp-rb-07.pdf"
"B 1780-8","Minimum Suggested Contents of Management Agreements","https://www.rd.usda.gov/media/file/download/uwp-rb-08.pdf"
"B 1780-9","Water Users Agreement","https://www.rd.usda.gov/media/file/download/uwp-rb-09.pdf"
