"tablescraper-selected-row","tablescraper-selected-row href"
"Funding for Cooperatives",""
"Rural Development program areas","https://www.rd.usda.gov/programs-services/cooperatives"
"Rural Energy for America Program (REAP) Guaranteed Loans & Grants","https://www.rd.usda.gov/programs-services/energy-programs/rural-energy-america-program-renewable-energy-systems-energy-efficiency-improvement-guaranteed-loans"
"Value-Added Producer Grant (VAPG) Program","https://www.rd.usda.gov/programs-services/business-programs/value-added-producer-grants"
"Socially Disadvantaged Groups Grant (SDGG)","https://www.rd.usda.gov/programs-services/business-programs/socially-disadvantaged-groups-grant"
"Business and Industry (B&I) Loan Guarantee program","https://www.rd.usda.gov/programs-services/business-programs/business-industry-loan-guarantees"
"Rural Cooperative Development Grant (RCDG)","https://www.rd.usda.gov/programs-services/business-programs/rural-cooperative-development-grant-program"
"Rural Economic Development Loan & Grant (REDLG) Program","https://www.rd.usda.gov/programs-services/business-programs/rural-economic-development-loan-grant-program"
"Rural Business Development Grant (RBDG)","https://www.rd.usda.gov/programs-services/business-programs/rural-business-development-grants"
"Intermediary Relending Program","https://www.rd.usda.gov/programs-services/business-programs/intermediary-relending-program"
"CoopConnect@usda.gov","mailto:CoopConnect@usda.gov"
