"usa-sidenav__item","usa-sidenav__item href","usa-icon href","usa-sidenav__item 2","usa-sidenav__item href 2","usa-sidenav__item 3","usa-sidenav__item href 3","usa-sidenav__item 4","usa-sidenav__item href 4","usa-sidenav__item 5","usa-sidenav__item href 5","usa-sidenav__item 6","usa-sidenav__item href 6"
"Acronyms","https://www.rd.usda.gov/resources/acronyms","","","","","","","","","","",""
"Directives","https://www.rd.usda.gov/resources/directives","[object Object]","Administrative Notices","https://www.rd.usda.gov/resources/directives/administrative-notices","Electric Sample Documents","https://www.rd.usda.gov/resources/directives/electric-sample-documents","Form Letters","https://www.rd.usda.gov/resources/directives/form-letters","Guide Letters","https://www.rd.usda.gov/resources/directives/guide-letters","Handbooks","https://www.rd.usda.gov/resources/directives/handbooks"
"Disaster Assistance","https://www.rd.usda.gov/resources/rural-development-disaster-assistance","[object Object]","We Care Letters","https://www.rd.usda.gov/resources/rural-development-disaster-assistance/we-care-letters","","","","","","","",""
"Environmental Studies","https://www.rd.usda.gov/resources/environmental-studies","[object Object]","Assessments","https://www.rd.usda.gov/resources/environmental-studies/assessments","FPEP Environmental Review Comment Submissions","https://www.rd.usda.gov/resources/environmental-studies/fpep-environmental-review-comments","Impact Statements","https://www.rd.usda.gov/resources/environmental-studies/impact-statements","Environmental Guidance","https://www.rd.usda.gov/resources/environmental-studies/environmental-guidance","Categorical Exclusions","https://www.rd.usda.gov/resources/environmental-studies/categorical-exclusions"
"Forms","https://www.rd.usda.gov/resources/forms","[object Object]","E-Forms","https://forms.sc.egov.usda.gov/eForms/welcomeAction.do?Home=","Departmental Forms","https://www.ocio.usda.gov/policy-directives-records-forms/forms-management/approved-computer-generated-forms","Translated Forms","https://www.rd.usda.gov/resources/forms/translated-forms","RUS Forms","https://www.rd.usda.gov/resources/forms/rus-forms","",""
"Publications","https://www.rd.usda.gov/resources/publications","[object Object]","Brochures","https://www.rd.usda.gov/resources/publications/brochures","Fact Sheets","https://www.rd.usda.gov/resources/publications/fact-sheets?langcode=en","Reports","https://www.rd.usda.gov/resources/publications/reports","Resource Guides","https://www.rd.usda.gov/resources/publications/resource-guides","Publications for Cooperatives","https://www.rd.usda.gov/resources/publications-for-cooperatives"
"Regulations and Guidance","https://www.rd.usda.gov/resources/regulations-and-guidance","[object Object]","Federal Register Publications","https://www.rd.usda.gov/resources/regulations/federal-register-publications","Program Regulations","https://www.rd.usda.gov/resources/regulations/program-regulations","Guidance Documents","https://www.rd.usda.gov/resources/regulations/guidance-documents","Bulletins","https://www.rd.usda.gov/resources/regulations/bulletins","",""
"Rural Data Gateway","https://www.rd.usda.gov/rural-data-gateway","","","","","","","","","","",""
"Guaranteed Underwriting System (GUS)","https://www.rd.usda.gov/resources/usda-linc-training-resource-library/guaranteed-underwriting-system","[object Object]","Lender Approval","https://www.rd.usda.gov/resources/usda-linc-training-resource-library/lender-approval","Single Family Housing GLP Policy Desk","https://www.rd.usda.gov/resources/usda-linc-training-resource-library/single-family-housing-glp-policy-desk","Lender Training","https://www.rd.usda.gov/resources/usda-linc-training-resource-library/lender-training","Loan Closing","https://www.rd.usda.gov/resources/usda-linc-training-resource-library/loan-closing","Loan Origination","https://www.rd.usda.gov/resources/usda-linc-training-resource-library/loan-origination"
"Lender List","https://www.rd.usda.gov/resources/lenders","","","","","","","","","","",""
"","","","","","","","","","","","",""
"USDA Rural Health","https://www.rd.usda.gov/resources/usda-rural-health","","","","","","","","","","",""
