"usa-sidenav__item","usa-sidenav__item href"
"Guaranteed Underwriting System (GUS)","https://www.rd.usda.gov/resources/usda-linc-training-resource-library/guaranteed-underwriting-system"
"Lender Approval","https://www.rd.usda.gov/resources/usda-linc-training-resource-library/lender-approval"
"Single Family Housing GLP Policy Desk","https://www.rd.usda.gov/resources/usda-linc-training-resource-library/single-family-housing-glp-policy-desk"
"Lender Training","https://www.rd.usda.gov/resources/usda-linc-training-resource-library/lender-training"
"Loan Closing","https://www.rd.usda.gov/resources/usda-linc-training-resource-library/loan-closing"
"Loan Origination","https://www.rd.usda.gov/resources/usda-linc-training-resource-library/loan-origination"
"Loan Servicing","https://www.rd.usda.gov/resources/usda-linc-training-resource-library/loan-servicing"
"GUS Lender Test Environment (LTE)","https://www.rd.usda.gov/resources/usda-linc-training-resource-library/gus-lender-test-environment"
"SFHGLP System Access and Security Guide","https://www.rd.usda.gov/sites/default/files/rd-sfh-systemaccessandsecurityguide.pdf"
"Lender Training Schedule","https://www.rd.usda.gov/resources/usda-linc-training-resource-library/lender-training-schedule"
"Loan Processing","https://www.rd.usda.gov/resources/usda-linc-training-library/loan-processing"
"LINC Contact and Resources","https://www.rd.usda.gov/resources/usda-linc-training-resource-library/linc-contact-and-resources"
