"usa-card__heading","usa-card__heading href","clearfix"
"Calendar Year 2022 Disaster Water Grants Program","https://www.rd.usda.gov/programs-services/water-environmental-programs/calendar-year-2022-disaster-water-grants-program","This program helps eligible communities handle expenses related to incidents (Presidentially declared disasters) that damaged water systems."
"Calendar Year 2022 Disaster Circuit Rider Technical Assistance Grants Program","https://www.rd.usda.gov/programs-services/water-environmental-programs/calendar-year-2022-disaster-circuit-rider-technical-assistance-grants-program","The Calendar Year (CY) 2022 Disaster Circuit Rider Technical Assistance (CRTA) Grants Program provides grant funds to qualified organizations for providing on-site technical assistance on a national basis to help eligible communities mitigate damage caused by CY 2022 Presidentially declared disasters."
"Circuit Rider Program","https://www.rd.usda.gov/programs-services/water-environmental-programs/circuit-rider-program-technical-assistance-rural-water-systems","This program provides technical assistance to rural water systems that are experiencing day-to-day operational, financial or managerial issues."
"Emergency Community Water Assistance Grants","https://www.rd.usda.gov/programs-services/water-environmental-programs/emergency-community-water-assistance-grants","This program helps eligible communities prepare, or recover from, an emergency that threatens the availability of safe, reliable drinking water."
"Grants for Rural and Native Alaskan Villages","https://www.rd.usda.gov/programs-services/water-environmental-programs/grants-rural-and-native-alaskan-villages","This program helps remote Alaskan villages provide safe, reliable drinking water and waste disposal systems for households and businesses."
"Individual Water & Wastewater Grants","https://www.rd.usda.gov/programs-services/single-family-housing-programs/individual-water-wastewater-grants","This program provides funds to households in an area recognized as a Colonia before October 1, 1989.  Grant funds may be used to connect service lines to a residence, pay utility hook-up fees, install plumbing and related fixtures."
"One Percent Loan Program for Distressed Communities","https://www.rd.usda.gov/programs-services/water-environmental-programs/one-percent-loan-program-distressed-communities","This program provides funding for clean and reliable drinking water systems, sanitary sewage disposal, sanitary solid waste disposal, and storm water drainage to households and businesses in distressed communities located in eligible rural areas where the primary purpose of the loan is to upgrade existing facilities or construct new facilities required to meet applicable health or sanitary standards."
"Rural Decentralized Water Systems Grant Program","https://www.rd.usda.gov/programs-services/water-environmental-programs/rural-decentralized-water-systems-grant-program","This program helps qualified nonprofits and tribes create a revolving loan fund to increase access to clean, reliable water and septic systems for households in eligible rural areas."
"Revolving Funds for Financing Water and Wastewater Projects (Revolving Fund Program)","https://www.rd.usda.gov/programs-services/water-environmental-programs/revolving-funds-financing-water-and-wastewater-projects","This program helps qualified nonprofits create revolving loan funds that can provide financing to extend and improve water and waste disposal systems in rural areas."
"SEARCH - Special Evaluation Assistance for Rural Communities and Households","https://www.rd.usda.gov/programs-services/water-environmental-programs/search-special-evaluation-assistance-rural-communities-and-households-grant","This program helps very small, financially distressed rural communities with predevelopment feasibility studies, design and technical assistance on proposed water and waste disposal projects."
"Solid Waste Management Grants","https://www.rd.usda.gov/programs-services/water-environmental-programs/solid-waste-management-grants","This program reduces or eliminates pollution of water resources by providing funding for organizations that provide technical assistance or training to improve the planning and management of solid waste sites."
"Technical Assistance and Training Program - Manufactured Homes","https://www.rd.usda.gov/programs-services/water-environmental-programs/technical-assistance-and-training-program-manufactured-homes","This grant program supports improved sustainability of water and waste services related to manufactured homes."
"Technical Assistance and Construction for Innovative Regional Wastewater Treatment Solutions (TAC-RWTS) Grant Pilot Program","https://www.rd.usda.gov/programs-services/water-environmental-programs/technical-assistance-and-construction-innovative-regional-wastewater-treatment-solutions-tac-rwts","Grants may be made to eligible entities for the study, design, or construction of regional wastewater systems for historically impoverished communities that have had difficulty installing traditional wastewater treatment systems due to soil conditions."
"Water and Waste Facility Loans and Grants to Alleviate Health Risks for Colonias","https://www.rd.usda.gov/programs-services/water-environmental-programs/water-and-waste-facility-loans-and-grants-alleviate-health-risks-colonias","This program helps get safe reliable drinking water and waste disposal services to low-income communities that face significant health risks."
"Water and Waste Facility Loans and Grants to Alleviate Health Risks on Tribal Lands","https://www.rd.usda.gov/programs-services/water-environmental-programs/water-and-waste-facility-loans-and-grants-alleviate-health-risks-tribal-lands","This program helps get safe, reliable drinking water and waste disposal services to low-income communities that face significant health risks."
"Water & Waste Disposal Loans & Grants","https://www.rd.usda.gov/programs-services/water-environmental-programs/water-waste-disposal-loan-grant-program","This program provides funding for clean and reliable drinking water systems, sanitary sewage disposal, sanitary solid waste disposal, and storm water drainage to households and businesses in eligible rural areas."
"Water & Waste Disposal Loan Guarantees","https://www.rd.usda.gov/programs-services/water-environmental-programs/water-waste-disposal-loan-guarantees","This program helps private lenders provide affordable financing to qualified borrowers to improve access to clean, reliable water and waste disposal systems for households and businesses in rural areas."
"Water & Waste Disposal Predevelopment Planning Grants","https://www.rd.usda.gov/programs-services/water-environmental-programs/water-waste-disposal-predevelopment-planning-grants","This program assists low-income communities with initial planning and development of applications for USDA Rural Development Water and Waste Disposal direct loan/grant and loan guarantee programs."
"Water & Waste Disposal Technical Assistance & Training Grants","https://www.rd.usda.gov/programs-services/water-environmental-programs/water-waste-disposal-technical-assistance-training-grants","This program helps qualified, private nonprofits provide technical assistance and training to identify and evaluate solutions to water and waste problems; helps applicants prepare applications for water and waste disposal loans/grants; and helps associations improve the operation and maintenance of water and waste facilities in eligible rural areas."
